,rating,rating_title,rating_description,rating_pros,rating_cons
0,5.0,amazing ,Really loved it. such a great time. entire team was great. the work environment is so professional. highly recommend you and your friend applying and working here you will love it,,[]
1,5.0,"Loved this job, the team was great to work with and I enjoyed basically being my own boss. ",Absolutely loved working with Google. They were friendly and helpful but also demand a lot from their employees. It was amazing working with them and I would love another job with Google. ,Basically your own boss. Make your own hours. Work alone (safer during pandemic),[]
2,4.0,Great but stressful,"Great great place  to work at. But extreme hours and stressful at times. However, very purposeful if you like what you do.Would recommend working if you are Ready to commit!",Salary Benefits Work collaboration,[]
3,5.0,Fun,Excellent place it work Excellent employees Excellent building Excellent vibeExcellent bossExcellent cats and dogs Excellent restroom Excel xl ,great environment,[]
4,5.0,Productive and fun,"Productive and fun, Worked here since I was a child, they looked after me throughout, putting clothes on my back and food in my tummy. Would love to work there again. ",Free lunches,[]
5,3.0,Beispiel: Produktiver Arbeitsort,Hiermit schreibe ich eine fiktive Bewertung  für meinen fiktiven Job bei Google,Kostenloser Rembrandt,[]
6,4.0,nothing to say really,"Nothing to say really, a typical day at work a job is a job and you do things. Work hard play hard. Go in and get the job done. Management is cool. hardest part is travel",,[]
7,5.0,productive and fun place to work,"amazing The typical Morgan Stanley Associate salary is £33,891 per year. Associate salaries at Morgan Stanley can range from £28,574 - £51,816 per year. This estimate is based upon 33 Morgan Stanley Associate salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a Associate at Morgan Stanley can expect to make an average total pay of £34,9",,[]
8,5.0,I love it!,"Working at Google has been great. It's challenging working in IT, but if you do the work then it's rewarding. The people you meet and learn from are extraordinary. ",,[]
9,2.0,It’s a toxic corporate carousel.,"A lack of full influence or control of quarterly quotas/goals, due to a hierarchy power struggle between middle and upper management. A lack of resources, and almost a complete absence of structured training that prepares an E.D.U consultant for the demands of the role/software programs/processes utilized. ",It’s a steady paycheck. Nothing more or less.,[]
10,5.0,Working at Google is a life time experience.,"Working at Google is a life time experience. Not only you learn a lot but the culture and ambience of that place is amazing and enriching. A good place to work and balance your life too, The freedom to express you skills is much appreciated.",Good colleague and mood overall,[]
11,4.0,Fun place to work. ,Great place. Great opportunities and a lot of advancement. There are great managers that want to help and know how to find answers for questions you have. ,,[]
12,2.0,Not a good place to work ,"The Culture was gross, unrealistic goals, no training and extreme discrimination in the hiring process. Co workers were rude and extremely competitive",The pay,[]
13,5.0,God,Very good and higly recommended also it will help in your future job opportunities go.for.it. without any regret. You will be enjoying the job and the culture. ,Good staff,[]
