,rating,rating_description,no_contract,token,pos,pos_token,wordnet_pos,lemmatized
0,5.0,Really loved it. such a great time. entire team was great. the work environment is so professional. highly recommend you and your friend applying and working here you will love it,really loved it. great time. entire team great. work environment professional. highly recommend friend applying working love,"[['really', 'loved', 'it', 'great', 'time', 'entire', 'team', 'great', 'work', 'environment', 'professional', 'highly', 'recommend', 'friend', 'applying', 'working', 'love']]","[[('really', 'RB'), ('loved', 'VBD'), ('it', 'PRP'), ('great', 'JJ'), ('time', 'NN'), ('entire', 'JJ'), ('team', 'NN'), ('great', 'JJ'), ('work', 'NN'), ('environment', 'NN'), ('professional', 'JJ'), ('highly', 'RB'), ('recommend', 'VBP'), ('friend', 'NN'), ('applying', 'VBG'), ('working', 'VBG'), ('love', 'NN')]]","[('really', 'RB'), ('loved', 'VBD'), ('it', 'PRP'), ('great', 'JJ'), ('time', 'NN'), ('entire', 'JJ'), ('team', 'NN'), ('great', 'JJ'), ('work', 'NN'), ('environment', 'NN'), ('professional', 'JJ'), ('highly', 'RB'), ('recommend', 'VBP'), ('friend', 'NN'), ('applying', 'VBG'), ('working', 'VBG'), ('love', 'NN')]","[('really', 'r'), ('loved', 'v'), ('it', 'n'), ('great', 'a'), ('time', 'n'), ('entire', 'a'), ('team', 'n'), ('great', 'a'), ('work', 'n'), ('environment', 'n'), ('professional', 'a'), ('highly', 'r'), ('recommend', 'v'), ('friend', 'n'), ('applying', 'v'), ('working', 'v'), ('love', 'n')]","['really', 'love', 'it', 'great', 'time', 'entire', 'team', 'great', 'work', 'environment', 'professional', 'highly', 'recommend', 'friend', 'apply', 'work', 'love']"
1,5.0,Absolutely loved working with Google. They were friendly and helpful but also demand a lot from their employees. It was amazing working with them and I would love another job with Google. ,absolutely loved working google. friendly helpful also demand lot employees. amazing working would love another job google.,"[['absolutely', 'loved', 'working', 'google', 'friendly', 'helpful', 'also', 'demand', 'lot', 'employees', 'amazing', 'working', 'would', 'love', 'another', 'job', 'google']]","[[('absolutely', 'RB'), ('loved', 'VBN'), ('working', 'VBG'), ('google', 'NN'), ('friendly', 'RB'), ('helpful', 'JJ'), ('also', 'RB'), ('demand', 'NN'), ('lot', 'NN'), ('employees', 'NNS'), ('amazing', 'VBG'), ('working', 'VBG'), ('would', 'MD'), ('love', 'VB'), ('another', 'DT'), ('job', 'NN'), ('google', 'NN')]]","[('absolutely', 'RB'), ('loved', 'VBN'), ('working', 'VBG'), ('google', 'NN'), ('friendly', 'RB'), ('helpful', 'JJ'), ('also', 'RB'), ('demand', 'NN'), ('lot', 'NN'), ('employees', 'NNS'), ('amazing', 'VBG'), ('working', 'VBG'), ('would', 'MD'), ('love', 'VB'), ('another', 'DT'), ('job', 'NN'), ('google', 'NN')]","[('absolutely', 'r'), ('loved', 'v'), ('working', 'v'), ('google', 'n'), ('friendly', 'r'), ('helpful', 'a'), ('also', 'r'), ('demand', 'n'), ('lot', 'n'), ('employees', 'n'), ('amazing', 'v'), ('working', 'v'), ('would', 'n'), ('love', 'v'), ('another', 'n'), ('job', 'n'), ('google', 'n')]","['absolutely', 'love', 'work', 'google', 'friendly', 'helpful', 'also', 'demand', 'lot', 'employee', 'amaze', 'work', 'would', 'love', 'another', 'job', 'google']"
2,4.0,"Great great place  to work at. But extreme hours and stressful at times. However, very purposeful if you like what you do.Would recommend working if you are Ready to commit!","great great place work at. extreme hours stressful times. however, purposeful like do.would recommend working ready commit!","[['great', 'great', 'place', 'work', 'at', 'extreme', 'hours', 'stressful', 'times', 'however', 'purposeful', 'like', 'do', 'would', 'recommend', 'working', 'ready', 'commit']]","[[('great', 'JJ'), ('great', 'JJ'), ('place', 'NN'), ('work', 'NN'), ('at', 'IN'), ('extreme', 'JJ'), ('hours', 'NNS'), ('stressful', 'JJ'), ('times', 'NNS'), ('however', 'RB'), ('purposeful', 'VBP'), ('like', 'IN'), ('do', 'NNS'), ('would', 'MD'), ('recommend', 'VB'), ('working', 'VBG'), ('ready', 'JJ'), ('commit', 'NN')]]","[('great', 'JJ'), ('great', 'JJ'), ('place', 'NN'), ('work', 'NN'), ('at', 'IN'), ('extreme', 'JJ'), ('hours', 'NNS'), ('stressful', 'JJ'), ('times', 'NNS'), ('however', 'RB'), ('purposeful', 'VBP'), ('like', 'IN'), ('do', 'NNS'), ('would', 'MD'), ('recommend', 'VB'), ('working', 'VBG'), ('ready', 'JJ'), ('commit', 'NN')]","[('great', 'a'), ('great', 'a'), ('place', 'n'), ('work', 'n'), ('at', 'n'), ('extreme', 'a'), ('hours', 'n'), ('stressful', 'a'), ('times', 'n'), ('however', 'r'), ('purposeful', 'v'), ('like', 'n'), ('do', 'n'), ('would', 'n'), ('recommend', 'v'), ('working', 'v'), ('ready', 'a'), ('commit', 'n')]","['great', 'great', 'place', 'work', 'at', 'extreme', 'hour', 'stressful', 'time', 'however', 'purposeful', 'like', 'do', 'would', 'recommend', 'work', 'ready', 'commit']"
3,5.0,Excellent place it work Excellent employees Excellent building Excellent vibeExcellent bossExcellent cats and dogs Excellent restroom Excel xl ,excellent place work excellent employees excellent building excellent vibeexcellent bossexcellent cats dogs excellent restroom excel xl,"[['excellent', 'place', 'work', 'excellent', 'employees', 'excellent', 'building', 'excellent', 'vibeexcellent', 'bossexcellent', 'cats', 'dogs', 'excellent', 'restroom', 'excel', 'xl']]","[[('excellent', 'JJ'), ('place', 'NN'), ('work', 'NN'), ('excellent', 'JJ'), ('employees', 'NNS'), ('excellent', 'JJ'), ('building', 'VBG'), ('excellent', 'JJ'), ('vibeexcellent', 'NN'), ('bossexcellent', 'NN'), ('cats', 'NNS'), ('dogs', 'VBP'), ('excellent', 'JJ'), ('restroom', 'NN'), ('excel', 'NN'), ('xl', 'NN')]]","[('excellent', 'JJ'), ('place', 'NN'), ('work', 'NN'), ('excellent', 'JJ'), ('employees', 'NNS'), ('excellent', 'JJ'), ('building', 'VBG'), ('excellent', 'JJ'), ('vibeexcellent', 'NN'), ('bossexcellent', 'NN'), ('cats', 'NNS'), ('dogs', 'VBP'), ('excellent', 'JJ'), ('restroom', 'NN'), ('excel', 'NN'), ('xl', 'NN')]","[('excellent', 'a'), ('place', 'n'), ('work', 'n'), ('excellent', 'a'), ('employees', 'n'), ('excellent', 'a'), ('building', 'v'), ('excellent', 'a'), ('vibeexcellent', 'n'), ('bossexcellent', 'n'), ('cats', 'n'), ('dogs', 'v'), ('excellent', 'a'), ('restroom', 'n'), ('excel', 'n'), ('xl', 'n')]","['excellent', 'place', 'work', 'excellent', 'employee', 'excellent', 'build', 'excellent', 'vibeexcellent', 'bossexcellent', 'cat', 'dog', 'excellent', 'restroom', 'excel', 'xl']"
4,5.0,"Productive and fun, Worked here since I was a child, they looked after me throughout, putting clothes on my back and food in my tummy. Would love to work there again. ","productive fun, worked since child, looked throughout, putting clothes back food tummy. would love work again.","[['productive', 'fun', 'worked', 'since', 'child', 'looked', 'throughout', 'putting', 'clothes', 'back', 'food', 'tummy', 'would', 'love', 'work', 'again']]","[[('productive', 'JJ'), ('fun', 'NN'), ('worked', 'VBD'), ('since', 'IN'), ('child', 'NN'), ('looked', 'VBD'), ('throughout', 'IN'), ('putting', 'VBG'), ('clothes', 'NNS'), ('back', 'RB'), ('food', 'NN'), ('tummy', 'NN'), ('would', 'MD'), ('love', 'VB'), ('work', 'NN'), ('again', 'RB')]]","[('productive', 'JJ'), ('fun', 'NN'), ('worked', 'VBD'), ('since', 'IN'), ('child', 'NN'), ('looked', 'VBD'), ('throughout', 'IN'), ('putting', 'VBG'), ('clothes', 'NNS'), ('back', 'RB'), ('food', 'NN'), ('tummy', 'NN'), ('would', 'MD'), ('love', 'VB'), ('work', 'NN'), ('again', 'RB')]","[('productive', 'a'), ('fun', 'n'), ('worked', 'v'), ('since', 'n'), ('child', 'n'), ('looked', 'v'), ('throughout', 'n'), ('putting', 'v'), ('clothes', 'n'), ('back', 'r'), ('food', 'n'), ('tummy', 'n'), ('would', 'n'), ('love', 'v'), ('work', 'n'), ('again', 'r')]","['productive', 'fun', 'work', 'since', 'child', 'look', 'throughout', 'put', 'clothes', 'back', 'food', 'tummy', 'would', 'love', 'work', 'again']"
5,3.0,Hiermit schreibe ich eine fiktive Bewertung  für meinen fiktiven Job bei Google,hiermit schreibe ich eine fiktive bewertung für meinen fiktiven job bei google,"[['hiermit', 'schreibe', 'ich', 'eine', 'fiktive', 'bewertung', 'für', 'meinen', 'fiktiven', 'job', 'bei', 'google']]","[[('hiermit', 'NN'), ('schreibe', 'NN'), ('ich', 'JJ'), ('eine', 'NN'), ('fiktive', 'JJ'), ('bewertung', 'NN'), ('für', 'NN'), ('meinen', 'NN'), ('fiktiven', 'JJ'), ('job', 'NN'), ('bei', 'NN'), ('google', 'NN')]]","[('hiermit', 'NN'), ('schreibe', 'NN'), ('ich', 'JJ'), ('eine', 'NN'), ('fiktive', 'JJ'), ('bewertung', 'NN'), ('für', 'NN'), ('meinen', 'NN'), ('fiktiven', 'JJ'), ('job', 'NN'), ('bei', 'NN'), ('google', 'NN')]","[('hiermit', 'n'), ('schreibe', 'n'), ('ich', 'a'), ('eine', 'n'), ('fiktive', 'a'), ('bewertung', 'n'), ('für', 'n'), ('meinen', 'n'), ('fiktiven', 'a'), ('job', 'n'), ('bei', 'n'), ('google', 'n')]","['hiermit', 'schreibe', 'ich', 'eine', 'fiktive', 'bewertung', 'für', 'meinen', 'fiktiven', 'job', 'bei', 'google']"
6,4.0,"Nothing to say really, a typical day at work a job is a job and you do things. Work hard play hard. Go in and get the job done. Management is cool. hardest part is travel","nothing say really, typical day work job job things. work hard play hard. go get job done. management cool. hardest part travel","[['nothing', 'say', 'really', 'typical', 'day', 'work', 'job', 'job', 'things', 'work', 'hard', 'play', 'hard', 'go', 'get', 'job', 'done', 'management', 'cool', 'hardest', 'part', 'travel']]","[[('nothing', 'NN'), ('say', 'VBP'), ('really', 'RB'), ('typical', 'JJ'), ('day', 'NN'), ('work', 'NN'), ('job', 'NN'), ('job', 'NN'), ('things', 'NNS'), ('work', 'VBP'), ('hard', 'RB'), ('play', 'VB'), ('hard', 'RB'), ('go', 'VBP'), ('get', 'VB'), ('job', 'NN'), ('done', 'VBN'), ('management', 'NN'), ('cool', 'NN'), ('hardest', 'JJS'), ('part', 'NN'), ('travel', 'NN')]]","[('nothing', 'NN'), ('say', 'VBP'), ('really', 'RB'), ('typical', 'JJ'), ('day', 'NN'), ('work', 'NN'), ('job', 'NN'), ('job', 'NN'), ('things', 'NNS'), ('work', 'VBP'), ('hard', 'RB'), ('play', 'VB'), ('hard', 'RB'), ('go', 'VBP'), ('get', 'VB'), ('job', 'NN'), ('done', 'VBN'), ('management', 'NN'), ('cool', 'NN'), ('hardest', 'JJS'), ('part', 'NN'), ('travel', 'NN')]","[('nothing', 'n'), ('say', 'v'), ('really', 'r'), ('typical', 'a'), ('day', 'n'), ('work', 'n'), ('job', 'n'), ('job', 'n'), ('things', 'n'), ('work', 'v'), ('hard', 'r'), ('play', 'v'), ('hard', 'r'), ('go', 'v'), ('get', 'v'), ('job', 'n'), ('done', 'v'), ('management', 'n'), ('cool', 'n'), ('hardest', 'a'), ('part', 'n'), ('travel', 'n')]","['nothing', 'say', 'really', 'typical', 'day', 'work', 'job', 'job', 'thing', 'work', 'hard', 'play', 'hard', 'go', 'get', 'job', 'do', 'management', 'cool', 'hard', 'part', 'travel']"
7,5.0,"amazing The typical Morgan Stanley Associate salary is £33,891 per year. Associate salaries at Morgan Stanley can range from £28,574 - £51,816 per year. This estimate is based upon 33 Morgan Stanley Associate salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a Associate at Morgan Stanley can expect to make an average total pay of £34,9","amazing typical morgan stanley associate salary £33,891 per year. associate salaries morgan stanley range £28,574 - £51,816 per year. estimate based upon 33 morgan stanley associate salary report(s) provided employees estimated based upon statistical methods. factoring bonuses additional compensation, associate morgan stanley expect make average total pay £34,9","[['amazing', 'typical', 'morgan', 'stanley', 'associate', 'salary', '33', '891', 'per', 'year', 'associate', 'salaries', 'morgan', 'stanley', 'range', '28', '574', '51', '816', 'per', 'year', 'estimate', 'based', 'upon', '33', 'morgan', 'stanley', 'associate', 'salary', 'report', 's', 'provided', 'employees', 'estimated', 'based', 'upon', 'statistical', 'methods', 'factoring', 'bonuses', 'additional', 'compensation', 'associate', 'morgan', 'stanley', 'expect', 'make', 'average', 'total', 'pay', '34', '9']]","[[('amazing', 'VBG'), ('typical', 'JJ'), ('morgan', 'NN'), ('stanley', 'NN'), ('associate', 'VBP'), ('salary', 'JJ'), ('33', 'CD'), ('891', 'CD'), ('per', 'IN'), ('year', 'NN'), ('associate', 'NN'), ('salaries', 'NNS'), ('morgan', 'VBP'), ('stanley', 'JJ'), ('range', 'NN'), ('28', 'CD'), ('574', 'CD'), ('51', 'CD'), ('816', 'CD'), ('per', 'IN'), ('year', 'NN'), ('estimate', 'NN'), ('based', 'VBN'), ('upon', 'IN'), ('33', 'CD'), ('morgan', 'JJ'), ('stanley', 'NN'), ('associate', 'JJ'), ('salary', 'JJ'), ('report', 'NN'), ('s', 'NN'), ('provided', 'VBD'), ('employees', 'NNS'), ('estimated', 'VBN'), ('based', 'VBN'), ('upon', 'IN'), ('statistical', 'JJ'), ('methods', 'NNS'), ('factoring', 'VBG'), ('bonuses', 'NNS'), ('additional', 'JJ'), ('compensation', 'NN'), ('associate', 'NN'), ('morgan', 'NN'), ('stanley', 'NN'), ('expect', 'VBP'), ('make', 'NN'), ('average', 'JJ'), ('total', 'JJ'), ('pay', 'NN'), ('34', 'CD'), ('9', 'CD')]]","[('amazing', 'VBG'), ('typical', 'JJ'), ('morgan', 'NN'), ('stanley', 'NN'), ('associate', 'VBP'), ('salary', 'JJ'), ('33', 'CD'), ('891', 'CD'), ('per', 'IN'), ('year', 'NN'), ('associate', 'NN'), ('salaries', 'NNS'), ('morgan', 'VBP'), ('stanley', 'JJ'), ('range', 'NN'), ('28', 'CD'), ('574', 'CD'), ('51', 'CD'), ('816', 'CD'), ('per', 'IN'), ('year', 'NN'), ('estimate', 'NN'), ('based', 'VBN'), ('upon', 'IN'), ('33', 'CD'), ('morgan', 'JJ'), ('stanley', 'NN'), ('associate', 'JJ'), ('salary', 'JJ'), ('report', 'NN'), ('s', 'NN'), ('provided', 'VBD'), ('employees', 'NNS'), ('estimated', 'VBN'), ('based', 'VBN'), ('upon', 'IN'), ('statistical', 'JJ'), ('methods', 'NNS'), ('factoring', 'VBG'), ('bonuses', 'NNS'), ('additional', 'JJ'), ('compensation', 'NN'), ('associate', 'NN'), ('morgan', 'NN'), ('stanley', 'NN'), ('expect', 'VBP'), ('make', 'NN'), ('average', 'JJ'), ('total', 'JJ'), ('pay', 'NN'), ('34', 'CD'), ('9', 'CD')]","[('amazing', 'v'), ('typical', 'a'), ('morgan', 'n'), ('stanley', 'n'), ('associate', 'v'), ('salary', 'a'), ('33', 'n'), ('891', 'n'), ('per', 'n'), ('year', 'n'), ('associate', 'n'), ('salaries', 'n'), ('morgan', 'v'), ('stanley', 'a'), ('range', 'n'), ('28', 'n'), ('574', 'n'), ('51', 'n'), ('816', 'n'), ('per', 'n'), ('year', 'n'), ('estimate', 'n'), ('based', 'v'), ('upon', 'n'), ('33', 'n'), ('morgan', 'a'), ('stanley', 'n'), ('associate', 'a'), ('salary', 'a'), ('report', 'n'), ('s', 'n'), ('provided', 'v'), ('employees', 'n'), ('estimated', 'v'), ('based', 'v'), ('upon', 'n'), ('statistical', 'a'), ('methods', 'n'), ('factoring', 'v'), ('bonuses', 'n'), ('additional', 'a'), ('compensation', 'n'), ('associate', 'n'), ('morgan', 'n'), ('stanley', 'n'), ('expect', 'v'), ('make', 'n'), ('average', 'a'), ('total', 'a'), ('pay', 'n'), ('34', 'n'), ('9', 'n')]","['amaze', 'typical', 'morgan', 'stanley', 'associate', 'salary', '33', '891', 'per', 'year', 'associate', 'salary', 'morgan', 'stanley', 'range', '28', '574', '51', '816', 'per', 'year', 'estimate', 'base', 'upon', '33', 'morgan', 'stanley', 'associate', 'salary', 'report', 's', 'provide', 'employee', 'estimate', 'base', 'upon', 'statistical', 'method', 'factor', 'bonus', 'additional', 'compensation', 'associate', 'morgan', 'stanley', 'expect', 'make', 'average', 'total', 'pay', '34', '9']"
8,5.0,"Working at Google has been great. It's challenging working in IT, but if you do the work then it's rewarding. The people you meet and learn from are extraordinary. ","working google great. it is challenging working it, work it is rewarding. people meet learn extraordinary.","[['working', 'google', 'great', 'it', 'is', 'challenging', 'working', 'it', 'work', 'it', 'is', 'rewarding', 'people', 'meet', 'learn', 'extraordinary']]","[[('working', 'VBG'), ('google', 'NN'), ('great', 'JJ'), ('it', 'PRP'), ('is', 'VBZ'), ('challenging', 'VBG'), ('working', 'VBG'), ('it', 'PRP'), ('work', 'VB'), ('it', 'PRP'), ('is', 'VBZ'), ('rewarding', 'VBG'), ('people', 'NNS'), ('meet', 'VBP'), ('learn', 'JJ'), ('extraordinary', 'JJ')]]","[('working', 'VBG'), ('google', 'NN'), ('great', 'JJ'), ('it', 'PRP'), ('is', 'VBZ'), ('challenging', 'VBG'), ('working', 'VBG'), ('it', 'PRP'), ('work', 'VB'), ('it', 'PRP'), ('is', 'VBZ'), ('rewarding', 'VBG'), ('people', 'NNS'), ('meet', 'VBP'), ('learn', 'JJ'), ('extraordinary', 'JJ')]","[('working', 'v'), ('google', 'n'), ('great', 'a'), ('it', 'n'), ('is', 'v'), ('challenging', 'v'), ('working', 'v'), ('it', 'n'), ('work', 'v'), ('it', 'n'), ('is', 'v'), ('rewarding', 'v'), ('people', 'n'), ('meet', 'v'), ('learn', 'a'), ('extraordinary', 'a')]","['work', 'google', 'great', 'it', 'be', 'challenge', 'work', 'it', 'work', 'it', 'be', 'reward', 'people', 'meet', 'learn', 'extraordinary']"
9,2.0,"A lack of full influence or control of quarterly quotas/goals, due to a hierarchy power struggle between middle and upper management. A lack of resources, and almost a complete absence of structured training that prepares an E.D.U consultant for the demands of the role/software programs/processes utilized. ","lack full influence control quarterly quotas/goals, due hierarchy power struggle middle upper management. lack resources, almost complete absence structured training prepares e.d.you consultant demands role/software programs/processes utilized.","[['lack', 'full', 'influence', 'control', 'quarterly', 'quotas', 'goals', 'due', 'hierarchy', 'power', 'struggle', 'middle', 'upper', 'management', 'lack', 'resources', 'almost', 'complete', 'absence', 'structured', 'training', 'prepares', 'e', 'd', 'you', 'consultant', 'demands', 'role', 'software', 'programs', 'processes', 'utilized']]","[[('lack', 'NN'), ('full', 'JJ'), ('influence', 'NN'), ('control', 'NN'), ('quarterly', 'JJ'), ('quotas', 'NNS'), ('goals', 'NNS'), ('due', 'JJ'), ('hierarchy', 'JJ'), ('power', 'NN'), ('struggle', 'NN'), ('middle', 'JJ'), ('upper', 'JJ'), ('management', 'NN'), ('lack', 'NN'), ('resources', 'NNS'), ('almost', 'RB'), ('complete', 'JJ'), ('absence', 'NN'), ('structured', 'VBD'), ('training', 'NN'), ('prepares', 'NNS'), ('e', 'VBP'), ('d', 'IN'), ('you', 'PRP'), ('consultant', 'NN'), ('demands', 'NNS'), ('role', 'NN'), ('software', 'NN'), ('programs', 'NNS'), ('processes', 'VBZ'), ('utilized', 'JJ')]]","[('lack', 'NN'), ('full', 'JJ'), ('influence', 'NN'), ('control', 'NN'), ('quarterly', 'JJ'), ('quotas', 'NNS'), ('goals', 'NNS'), ('due', 'JJ'), ('hierarchy', 'JJ'), ('power', 'NN'), ('struggle', 'NN'), ('middle', 'JJ'), ('upper', 'JJ'), ('management', 'NN'), ('lack', 'NN'), ('resources', 'NNS'), ('almost', 'RB'), ('complete', 'JJ'), ('absence', 'NN'), ('structured', 'VBD'), ('training', 'NN'), ('prepares', 'NNS'), ('e', 'VBP'), ('d', 'IN'), ('you', 'PRP'), ('consultant', 'NN'), ('demands', 'NNS'), ('role', 'NN'), ('software', 'NN'), ('programs', 'NNS'), ('processes', 'VBZ'), ('utilized', 'JJ')]","[('lack', 'n'), ('full', 'a'), ('influence', 'n'), ('control', 'n'), ('quarterly', 'a'), ('quotas', 'n'), ('goals', 'n'), ('due', 'a'), ('hierarchy', 'a'), ('power', 'n'), ('struggle', 'n'), ('middle', 'a'), ('upper', 'a'), ('management', 'n'), ('lack', 'n'), ('resources', 'n'), ('almost', 'r'), ('complete', 'a'), ('absence', 'n'), ('structured', 'v'), ('training', 'n'), ('prepares', 'n'), ('e', 'v'), ('d', 'n'), ('you', 'n'), ('consultant', 'n'), ('demands', 'n'), ('role', 'n'), ('software', 'n'), ('programs', 'n'), ('processes', 'v'), ('utilized', 'a')]","['lack', 'full', 'influence', 'control', 'quarterly', 'quota', 'goal', 'due', 'hierarchy', 'power', 'struggle', 'middle', 'upper', 'management', 'lack', 'resource', 'almost', 'complete', 'absence', 'structure', 'training', 'prepares', 'e', 'd', 'you', 'consultant', 'demand', 'role', 'software', 'program', 'process', 'utilized']"
